id,label
0,DSP_exp
1,CDH1_exp
2,RPL13A_exp
3,RPL12_exp
4,TUBA1A_exp
5,GFAP_exp
6,RPS18_exp
7,EPCAM_exp
8,PMP2_exp
9,C1orf61_exp
10,RPL3_exp
11,NCAN_exp
12,RPS27A_exp
13,FXYD3_exp
14,MT3_exp
15,CHI3L1_exp
16,NPM1_exp
17,SLC1A3_exp
18,C1QB_exp
19,C1QA_exp
20,GPM6A_exp
21,RPL7A_exp
22,PERP_exp
23,RPL10_exp
24,MYH14_exp
25,AQP4_exp
26,RPL10A_exp
27,ATP1B2_exp
28,RPL6_exp
29,GPM6B_exp
30,RPS12_exp
31,RPL27A_exp
32,ELF3_exp
33,HBB_exp
34,AGR2_exp
35,SPP1_exp
36,RPL37_exp
37,CLU_exp
38,NUMA1_exp
39,ERBB2_exp
40,RPS7_exp
41,RPS15A_exp
42,SOD2_exp
43,MAL2_exp
44,GLTSCR2_exp
45,RPL4_exp
46,RPS25_exp
47,S100B_exp
48,PLP1_exp
49,NCOR1_mut
50,NBN_mut
51,HNF1A_mut
52,PIM1_mut
53,TLX1_mut
54,ERG_mut
55,MLLT10_mut
56,EWSR1_mut
57,SUZ12_mut
58,AHNAK_exp
59,PIK3CA_mut
60,PAX5_mut
61,ID3_mut
62,MAP3K13_mut
63,TERT_mut
64,PLEC_exp
65,CXCR4_mut
66,MTOR_mut
67,MYH9_exp
68,TCF7L2_mut
69,NFE2L2_mut
70,MAP3K1_mut
71,MDM4_mut
72,REL_mut
73,COL1A2_exp
74,FAM107A_exp
75,CRYAB_exp
76,MYCN_mut
77,TAL1_mut
78,FXYD6_exp
79,ASXL1_mut
80,STAT6_mut
81,SGK1_mut
82,DEK_mut
83,TNFAIP3_mut
84,EGFR_mut
85,NTHL1_mut
86,CST3_exp
87,FLNB_exp
88,PABPC1_exp
89,CD55_exp
90,POLE_mut
91,HSPA1A_exp
92,SEPT14_fus
93,RAF1_fus
94,FGFR2_fus
95,PDGFRA_fus
96,TMPRSS2_fus
97,SCD5_exp
98,KRT15_exp
99,NOTCH2_fus
100,CD24_exp
101,EGFR_fus
102,ATP1A1_exp
103,NRG1_fus
104,ACP5_exp
105,KRT14_exp
106,MUC5B_exp
107,QKI_exp
108,CTSE_exp
109,ESR1_fus
110,MUC4_exp
111,HSP90AB1_exp
112,BCAN_exp
113,FTL_exp
114,COL17A1_exp
115,EIF4G1_exp
116,CTSZ_exp
117,LASP1_exp
118,CEACAM6_exp
119,KRT6A_exp
120,MSN_exp
121,SH3GL1_amp
122,EGFR_amp
123,MYC_amp
124,CDK4_amp
125,SALL4_amp
126,USP6_amp
127,ITM2C_exp
128,PSIP1_amp
129,PDCD1LG2_amp
130,TAL1_amp
131,HNRNPA2B1_amp
132,PEA15_exp
133,PLCG1_amp
134,TFEB_amp
135,JUP_exp
136,PIM1_amp
137,LYL1_amp
138,CLDN4_exp
139,TNFRSF17_amp
140,RPS14_exp
141,SYK_amp
142,FEV_amp
143,MAF_amp
144,KRT5_exp
145,RPSAP58_exp
146,NUTM1_amp
147,KRT19_exp
148,PTPN11_amp
149,MAP2K1_amp
150,RPL31_exp
151,PRF1_del
152,FAS_del
153,SUFU_del
154,KLF6_del
155,CPEB3_del
156,PTEN_del
157,NCOA4_del
158,KAT6B_del
159,MGMT_del
160,LARP4B_del
161,MYH9_del
162,CCDC6_del
163,ZFHX3_del
164,GATA3_del
165,MAP1B_exp
